DATE;0MIS;1MIS;3MIS;6MIS;9MIS;12MIS;15MIS;18MIS;21MIS;24MIS;30MIS;36MIS
2015-09;1,6;5,0;9,1;15,1;20,6;27,2;34,0;40,4;47,1;55,9;;
2015-10;0,9;5,0;10,0;17,2;23,5;31,2;38,6;45,2;52,2;62,6;;
2015-11;0,9;4,3;8,7;15,2;20,9;28,3;36,1;43,4;50,7;60,1;;
2015-12;1,1;4,7;8,9;13,7;19,9;26,5;34,5;40,5;46,8;55,7;;
2016-01;0,6;3,4;6,6;11,2;15,3;20,6;28,1;32,6;38,1;46,5;;
2016-02;0,7;3,5;7,2;12,3;17,3;23,7;30,4;36,3;42,6;52,2;;
2016-03;0,7;3,1;6,5;11,5;17,7;24,7;32,5;38,3;44,6;54,1;;
2016-04;0,5;3,0;5,9;10,5;15,6;22,2;29,4;35,1;41,4;50,6;;
2016-05;0,8;2,4;5,7;10,5;16,2;21,8;28,4;34,7;42,9;52,8;;
2016-06;0,6;2,3;6,0;12,0;18,5;25,6;32,8;40,9;49,9;60,9;;
2016-07;1,2;3,8;7,3;13,3;19,8;26,2;34,5;42,3;50,7;61,6;;
2016-08;1,2;4,2;8,4;13,7;19,6;29,6;37,5;47,2;59,0;73,6;;
2016-09;1,2;4,5;8,5;14,6;20,9;28,9;38,8;48,6;57,8;70,9;;
2016-10;0,9;3,8;7,8;14,0;19,8;27,6;36,9;44,8;52,7;63,9;;
2016-11;0,8;3,7;8,0;13,5;19,6;28,3;37,3;45,3;53,5;65,5;;
2016-12;0,7;3,5;8,4;14,8;21,0;28,6;38,6;45,1;52,3;62,8;;
2017-01;0,6;2,7;6,1;10,5;16,7;24,2;31,4;38,5;46,5;;;
2017-02;0,7;2,8;6,1;10,3;15,5;22,7;30,4;36,8;43,6;;;
2017-03;0,5;2,4;5,7;10,9;15,6;23,0;30,9;37,7;43,0;;;
2017-04;0,5;2,0;5,4;9,6;14,2;20,2;27,8;33,8;;;;
2017-05;0,7;2,6;6,1;10,2;15,5;21,0;28,7;34,9;;;;
2017-06;0,8;3,0;6,6;11,7;16,8;23,0;29,6;33,8;;;;
2017-07;0,8;3,2;6,8;11,8;17,7;23,6;30,4;;;;;
2017-08;0,8;3,2;6,7;11,6;15,6;20,7;26,9;;;;;
2017-09;0,7;3,1;6,6;12,3;16,7;22,7;28,5;;;;;
2017-10;0,6;3,3;6,8;11,4;16,3;21,9;;;;;;
2017-11;0,6;2,4;5,4;10,1;14,4;19,7;;;;;;
2017-12;0,5;2,5;5,5;9,6;13,9;19,6;;;;;;
2018-01;0,5;2,2;5,3;9,5;13,8;;;;;;;
2018-02;0,4;2,0;5,1;9,1;14,0;;;;;;;
2018-03;0,4;2,2;5,2;9,2;12,8;;;;;;;
2018-04;0,6;2,6;5,6;9,7;;;;;;;;
2018-05;0,5;2,3;5,3;9,2;;;;;;;;
2018-06;0,5;2,7;5,8;9,9;;;;;;;;
2018-07;0,7;2,3;5,4;;;;;;;;;
2018-08;0,4;1,5;3,3;;;;;;;;;
2018-09;0,6;2,4;4,3;;;;;;;;;
2018-10;0,3;1,9;;;;;;;;;;
2018-11;0,3;1,1;;;;;;;;;;
